PlayerNBAId,PlayerNBAName,PlayerNBABirthDate,PlayerBREFId,PlayerBREFName,PlayerBREFBirthDate
1627863,Danuel House Jr.,1993-06-07,houseda01,Danuel House,1993-06-07
1627866,Jameel Warney,1994-01-31,warneja01,Jameel Warney,1994-01-31
1627868,Patricio Garino,1993-05-17,garinpa01,Patricio Garino,1993-05-17
1627875,Marcus Georges-Hunt,1994-03-28,georgma01,Marcus Georges-Hunt,1994-03-28
1627879,Nicolas Laprovittola,1990-01-31,laproni01,Nicolas Laprovittola,1990-01-31
1627883,Jalen Jones,1993-05-27,jonesja04,Jalen Jones,1993-05-27
1627884,Derrick Jones Jr.,1997-02-15,jonesde02,Derrick Jones,1997-02-15
1627885,Shaquille Harrison,1993-10-06,harrish01,Shaquille Harrison,1993-10-06
1627936,Alex Caruso,1994-02-28,carusal01,Alex Caruso,1994-02-28
1627982,Josh Gray,1993-09-09,grayjo01,Josh Gray,1993-09-09
1627988,Myke Henry,1992-12-23,henrymy01,Myke Henry,1992-12-23
1628021,David Nwaba,1993-01-14,nwabada01,David Nwaba,1993-01-14
1628035,Alfonzo McKinnie,1992-09-17,mckinal01,Alfonzo McKinnie,1992-09-17
1628070,Jordan Loyd,1993-07-27,loydjo01,Jordan Loyd,1993-07-27
